stage3.1.branches.2.2.bn2.weight [72]
stage3.1.branches.2.2.bn2.bias [72]
stage3.1.branches.2.2.bn2.running_mean [72]
stage3.1.branches.2.2.bn2.running_var [72]
stage3.1.branches.2.3.conv1.weight [72,72,3,3]
stage3.1.branches.2.3.bn1.weight [72]
stage3.1.branches.2.3.bn1.bias [72]
stage3.1.branches.2.3.bn1.running_mean [72]
stage3.1.branches.2.3.bn1.running_var [72]
stage3.1.branches.2.3.conv2.weight [72,72,3,3]
stage3.1.branches.2.3.bn2.weight [72]
stage3.1.branches.2.3.bn2.bias [72]
stage3.1.branches.2.3.bn2.running_mean [72]
stage3.1.branches.2.3.bn2.running_var [72]
stage3.1.fuse_layers.0.1.0.weight [18,36,1,1]
stage3.1.fuse_layers.0.1.1.weight [18]
stage3.1.fuse_layers.0.1.1.bias [18]
stage3.1.fuse_layers.0.1.1.running_mean [18]
stage3.1.fuse_layers.0.1.1.running_var [18]
stage3.1.fuse_layers.0.2.0.weight [18,72,1,1]
stage3.1.fuse_layers.0.2.1.weight [18]
stage3.1.fuse_layers.0.2.1.bias [18]
stage3.1.fuse_layers.0.2.1.running_mean [18]
stage3.1.fuse_layers.0.2.1.running_var [18]
stage3.1.fuse_layers.1.0.0.0.weight [36,18,3,3]
stage3.1.fuse_layers.1.0.0.1.weight [36]
stage3.1.fuse_layers.1.0.0.1.bias [36]
stage3.1.fuse_layers.1.0.0.1.running_mean [36]
stage3.1.fuse_layers.1.0.0.1.running_var [36]
stage3.1.fuse_layers.1.2.0.weight [36,72,1,1]
stage3.1.fuse_layers.1.2.1.weight [36]
stage3.1.fuse_layers.1.2.1.bias [36]
stage3.1.fuse_layers.1.2.1.running_mean [36]
stage3.1.fuse_layers.1.2.1.running_var [36]
stage3.1.fuse_layers.2.0.0.0.weight [18,18,3,3]
stage3.1.fuse_layers.2.0.0.1.weight [18]
stage3.1.fuse_layers.2.0.0.1.bias [18]
stage3.1.fuse_layers.2.0.0.1.running_mean [18]
stage3.1.fuse_layers.2.0.0.1.running_var [18]
stage3.1.fuse_layers.2.0.1.0.weight [72,18,3,3]
stage3.1.fuse_layers.2.0.1.1.weight [72]
stage3.1.fuse_layers.2.0.1.1.bias [72]
stage3.1.fuse_layers.2.0.1.1.running_mean [72]
stage3.1.fuse_layers.2.0.1.1.running_var [72]
stage3.1.fuse_layers.2.1.0.0.weight [72,36,3,3]
stage3.1.fuse_layers.2.1.0.1.weight [72]
stage3.1.fuse_layers.2.1.0.1.bias [72]
stage3.1.fuse_layers.2.1.0.1.running_mean [72]
stage3.1.fuse_layers.2.1.0.1.running_var [72]
stage3.2.branches.0.0.conv1.weight [18,18,3,3]
stage3.2.branches.0.0.bn1.weight [18]
stage3.2.branches.0.0.bn1.bias [18]
stage3.2.branches.0.0.bn1.running_mean [18]
stage3.2.branches.0.0.bn1.running_var [18]
stage3.2.branches.0.0.conv2.weight [18,18,3,3]
stage3.2.branches.0.0.bn2.weight [18]
stage3.2.branches.0.0.bn2.bias [18]
stage3.2.branches.0.0.bn2.running_mean [18]
stage3.2.branches.0.0.bn2.running_var [18]
stage3.2.branches.0.1.conv1.weight [18,18,3,3]
stage3.2.branches.0.1.bn1.weight [18]
stage3.2.branches.0.1.bn1.bias [18]
stage3.2.branches.0.1.bn1.running_mean [18]
stage3.2.branches.0.1.bn1.running_var [18]
stage3.2.branches.0.1.conv2.weight [18,18,3,3]
stage3.2.branches.0.1.bn2.weight [18]
stage3.2.branches.0.1.bn2.bias [18]
stage3.2.branches.0.1.bn2.running_mean [18]
stage3.2.branches.0.1.bn2.running_var [18]
stage3.2.branches.0.2.conv1.weight [18,18,3,3]
