wh.2.weight [4,256,1,1]
wh.2.bias [4]
id.0.weight [256,64,3,3]
id.0.bias [256]
id.2.weight [128,256,1,1]
id.2.bias [128]
reg.0.weight [256,64,3,3]
reg.0.bias [256]
reg.2.weight [2,256,1,1]
reg.2.bias [2]
